,encoder,data
0,0,21846.714285714286
1,1,49145.66135972461
2,2,75023.82271944924
3,3,99817.34122203097
4,4,124379.64543889846
5,5,147977.30679862306
6,6,171431.5395869191
7,7,193451.70094664372
8,8,214458.7908777969
9,9,235015.6665232358
10,10,254606.75645438896
11,11,274410.06067125645
12,12,292693.1506024096
13,13,310433.09767641994
14,14,327425.1161790017
15,15,343547.9203958692
16,16,359454.15318416525
17,17,373228.7431153184
18,18,386980.1187607573
19,19,400049.2801204819
20,20,412398.8700516351
21,21,423903.53141135967
22,22,434911.0499139414
23,23,445106.28270223754
24,24,454614.6583476764
25,25,463369.9625645439
26,26,470724.9810671256
27,27,477793.8567125646
28,28,484064.30378657486
29,29,489866.75086058513
30,30,494435.6979345955
31,31,498721.1450086058
32,32,502176.8777969019
33,33,505014.8248709122
34,34,507094.343373494
35,35,508252.0047332186
36,36,509201.16609294317
37,37,508630.32745266776
38,38,507097.48881239246
39,39,505668.5787435456
40,40,502615.31153184164
41,41,499200.5443201377
42,42,495134.991394148
43,43,490543.79561101546
44,44,485006.8141135972
45,45,478492.6897590361
46,46,471250.2796901893
47,47,462567.2981927711
48,48,454905.38812392426
49,49,445355.906626506
50,50,435274.9965576592
51,51,424545.87220309814
52,52,413299.24784853694
53,53,400998.4092082616
54,54,388471.85628227197
55,55,374818.87478485366
56,56,360220.67900172115
57,57,345339.7689328743
58,58,329595.5017211704
59,59,312705.3059380378
60,60,295106.0387263339
61,61,276975.27151462995
62,62,258503.07573149737
63,63,239156.8799483649
64,64,218511.25559380377
65,65,197367.55981067117
66,66,175304.72117039585
67,67,152160.45395869188
68,68,129005.7581755594
69,69,104999.49096385535
70,70,80313.08089500864
71,71,54304.742254733224
72,72,28289.475043029175
73,73,1122.6364027538802
74,74,-26609.13080895011
75,75,-54973.32659208262
76,76,-83913.5223752152
77,77,-113878.93244406203
78,78,-144456.77108433744
79,79,-175670.60972461285
80,80,-207759.59122203104
81,81,-240301.71557659213
82,82,-274434.48278829607
83,83,-309011.9642857143
84,84,-343712.94578313257
85,85,-379356.64156626514
86,86,-415978.8373493976
87,87,-453275.0331325301
88,88,-491703.72891566274
89,89,-529944.4246987952
90,90,-569348.4776247849
91,91,-609945.744836489
92,92,-651106.7263339071
93,93,-693366.4935456112
94,94,-736106.117900172
95,95,-779681.9565404477
96,96,-823036.5808950085
97,97,-867991.2052495697
98,98,-912923.1153184166
99,99,-959352.6682444062
100,100,-1005809.5783132531
101,101,-1053590.4169535283
102,102,-1101348.7555938037
103,103,-1149847.3085197937
104,104,-1199217.7185886404
105,105,-1249553.0572289156
106,106,-1300828.038726334
107,107,-1352848.0916523235
108,108,-1404680.3588640275
109,109,-1457802.1260757316
110,110,-1511071.8932874356
111,111,-1565205.4462134251
112,112,-1620285.570567986
113,113,-1675084.4806368332
114,114,-1730577.2478485373
115,115,-1787189.7293459554
116,116,-1844684.9251290876
117,117,-1902417.4780550774
118,118,-1960904.1738382103
119,119,-2020505.583907057
120,120,-2080201.0654044752
121,121,-2140880.975473322
122,122,-2201555.8141135974
123,123,-2263103.367039587
124,124,-2324765.2771084337
125,125,-2387409.1871772804
126,126,-2450960.168674699
127,127,-2514522.8644578313
128,128,-2578737.917383821
129,129,-2642822.684595525
130,130,-2707789.5232358007
131,131,-2773117.004733219
132,132,-2838510.843373494
133,133,-2903842.967728055
134,134,-2970829.092082616
135,135,-3038303.645008606
136,136,-3105455.41222031
137,137,-3173280.036574871
138,138,-3240926.232358004
139,139,-3309196.1424268503
140,140,-3377951.6239242684
141,141,-3447070.2482788297
142,142,-3515878.158347676
143,143,-3585109.925559381
144,144,-3654931.6927710846
145,145,-3724722.6742685027
146,146,-3794544.655765921
147,147,-3864380.637263339
148,148,-3934923.6901893285
149,149,-4005393.385972461
150,150,-4075768.653184165
151,151,-4147482.348967298
152,152,-4219135.544750431
153,153,-4291079.026247849
154,154,-4362599.436316695
155,155,-4434449.060671256
156,156,-4506280.399311531
157,157,-4578627.809380379
158,158,-4650283.719449226
159,159,-4722638.700946644
160,160,-4794393.539586919
161,161,-4866735.378227195
162,162,-4938787.645438898
163,163,-5010306.769793459
164,164,-5081846.465576592
165,165,-5153554.875645438
166,166,-5225891.0
167,167,-5297416.2672117045
168,168,-5368707.677280551
169,169,-5440172.944492255
170,170,-5511332.068846816
171,171,-5582693.193201377
172,172,-5653107.0318416525
173,173,-5723353.656196213
174,174,-5794148.209122202
175,175,-5864602.904905336
176,176,-5934602.814974183
177,177,-6004187.153614458
178,178,-6074335.706540448
179,179,-6144073.8308950085
180,180,-6213549.026678141
181,181,-6283002.508175559
182,182,-6351868.203958692
183,183,-6420315.18545611
184,184,-6487992.2383821
185,185,-6555901.29130809
186,186,-6623080.6299483655
187,187,-6690231.825731497
188,188,-6757201.092943202
189,189,-6823529.217297763
190,190,-6889617.3416523235
191,191,-6955199.8945783125
192,192,-7019619.018932875
193,193,-7084572.929001722
194,194,-7148516.124784854
195,195,-7212239.320567986
196,196,-7275597.230636833
197,197,-7338837.354991394
198,198,-7401385.050774527
199,199,-7463045.103700517
200,200,-7524354.728055079
201,201,-7584743.280981068
202,202,-7645000.691049915
203,203,-7704913.3868330475
204,204,-7763789.225473322
205,205,-7822852.992685026
206,206,-7881485.974182444
207,207,-7938368.241394147
208,208,-7995643.6514629945
209,209,-8051871.347246127
210,210,-8108000.614457831
211,211,-8163459.453098106
212,212,-8217721.291738383
213,213,-8271364.987521515
214,214,-8324884.040447504
215,215,-8377013.379087779
216,216,-8428556.860585198
217,217,-8479994.627796903
218,218,-8530650.109294321
219,219,-8580829.16222031
220,220,-8630147.78657487
221,221,-8678901.910929432
222,222,-8726904.39242685
223,223,-8774431.302495698
224,224,-8821021.49827883
225,225,-8866915.12263339
226,226,-8912143.961273666
227,227,-8956523.014199656
228,228,-8999742.35283993
229,229,-9042675.83433735
230,230,-9084771.53012048
231,231,-9127037.725903615
232,232,-9167796.135972463
233,233,-9208102.11746988
234,234,-9246814.74182444
235,235,-9285695.723321859
236,236,-9323538.84767642
237,237,-9360623.90060241
238,238,-9397026.739242686
239,239,-9432719.50645439
240,240,-9467893.987951808
241,241,-9502203.326592082
242,242,-9535870.093803786
243,243,-9568067.646729777
244,244,-9599623.271084337
245,245,-9631296.96686747
246,246,-9661908.091222033
247,247,-9691385.501290876
248,248,-9720465.482788296
249,249,-9748212.67857143
250,250,-9775573.660068847
